^SAMPLE = GSM1859080
!Sample_title = Blood_PD_patient_1
!Sample_geo_accession = GSM1859080
!Sample_status = Public on Oct 29 2015
!Sample_submission_date = Aug 21 2015
!Sample_last_update_date = Oct 29 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Blood from PD patient
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = diagnosis: Parkinson's disease
!Sample_characteristics_ch1 = tissue: blood
!Sample_treatment_protocol_ch1 = Paxgene RNA tubes were inverted 8–10 times and placed in a -80°C freezer until RNA extraction. Tubes were thawed at room temperature for 24 hours prior to RNA isolation.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA was extracted per Paxgene Blood RNA Extraction Kit (PreAnalytiX, Qiagen). Globin reduction was not conducted on any sample in this study since it has been shown to have little impact on probe detection when using OvationTM Whole Blood Solution NuGEN Technologies, Inc (San Carlos, CA, USA).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cDNA targets were prepared according to manufacturer's instructions (OvationTM RNA Amplification System V2, OvationTM WB Reagent and FL−OvationTM cDNA Biotin Module V2). RNA quantity was determined by the Nanodrop and RNA quality was determined by A260/A280 ratio and the presence of 2 distinct ribosomal bands on gel electrophoresis.
!Sample_hyb_protocol = Samples were hybridized to HG−U133A 2.0 arrays (Affymetrix, Santa Clara, CA), washed, and stained (GeneChip Fluidics Station 450).
!Sample_scan_protocol = Samples were scanned on an HP Gene Array Scanner 3000 7G according to standard manufacturer’s instructions (Affymetrix).
!Sample_data_processing = Cell intensity values and probe detection calls were computed using the Affymetrix GeneChip Operating Software (GCOS). Further data processing was performed in the R computing environment (http://www.r-project.org/) version 2.8.0 with BioConductor packages (http://www.bioconductor.org/). Robust Multi-Array Average (RMA) normalization was applied (Irizarry RA et al. 2003). Data were then filtered based on Affymetrix detection call and probeset intensity, so that only probesets that had a present call and intensity value >100 in at least half the arrays of the smaller group (i.e. the healthy controls) were retained. Microarray data were then imported in the Multiexperiment Viewer (MeV) software (Saeed A et al. 2003) version 4.5.1 for Windows XP, and statistical analysis was performed with the SAM (Significance Analysis of Microarrays) (Tusher VG et al. 2001) and Rank Product (RP) modules (Breitling R et al. 2004) to detect significantly differentially expressed genes. SAM test was run using 1000 permutations and a False Discovery Rate (FDR) of 10%. RP was run using 100 permutations and an FDR of 0.005%.
!Sample_platform_id = GPL571
!Sample_contact_name = Paola,,Roncaglia
!Sample_contact_department = Neurobiology
!Sample_contact_institute = SISSA/ISAS (International School for Advanced Studies)
!Sample_contact_address = via Bonomea 265
!Sample_contact_city = Trieste
!Sample_contact_state = TS
!Sample_contact_zip/postal_code = 34136
!Sample_contact_country = Italy
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1859nnn/GSM1859080/suppl/GSM1859080_001RS01.CEL.gz
!Sample_series_id = GSE72267
!Sample_data_row_count = 22277
#ID_REF = 
#VALUE = RMA signal
!sample_table_begin
ID_REF	VALUE
1007_s_at	7.274404926
1053_at	8.997322699
117_at	11.17342987
121_at	6.33430479
1255_g_at	2.581030965
1294_at	10.28086857
1316_at	7.368651523
1320_at	5.427992857
1405_i_at	11.90328562
1431_at	5.414267333
1438_at	5.068883508
1487_at	9.515666662
1494_f_at	4.988693704
1598_g_at	7.111822392
160020_at	6.054407149
1729_at	9.873437468
177_at	6.380756921
1773_at	6.110868785
179_at	7.272596944
1861_at	6.528942122
200000_s_at	10.32486681
200001_at	11.88628445
200002_at	11.59187055
200003_s_at	13.91126975
200004_at	12.31115018
200005_at	12.05029577
200006_at	11.718101
200007_at	12.13161901
200008_s_at	10.78691453
200009_at	13.32514731
200010_at	12.2782759
200011_s_at	11.15078887
200012_x_at	13.45901243
200013_at	13.45526624
200014_s_at	12.26454482
200015_s_at	11.90837405
200016_x_at	13.22595539
200017_at	12.91031288
200018_at	13.45162165
200019_s_at	13.04619282
200020_at	12.31253843
200021_at	13.37219686
200022_at	13.23233928
200023_s_at	12.96206836
200024_at	12.45455943
200025_s_at	13.23433107
200026_at	12.52975928
200027_at	10.9806884
200028_s_at	13.01447181
200029_at	13.83137001
200030_s_at	12.87535089
200031_s_at	14.15385925
200032_s_at	13.19128951
200033_at	13.28359024
200034_s_at	13.2375695
200035_at	10.80621554
200036_s_at	12.63407004
200037_s_at	11.02662296
200038_s_at	13.51620096
200039_s_at	11.34816733
200040_at	11.95002741
200041_s_at	13.16805354
200042_at	9.849758896
200043_at	10.55280336
200044_at	11.92168645
200045_at	9.914207443
200046_at	11.10226747
200047_s_at	11.55904476
200048_s_at	11.98025961
200049_at	10.09421602
200050_at	9.821584511
200051_at	9.596771501
200052_s_at	10.32486681
200053_at	8.655592917
200054_at	8.981336178
200055_at	11.73515482
200056_s_at	8.876067744
200057_s_at	12.92884276
200058_s_at	11.03662893
200059_s_at	12.95021385
200060_s_at	11.48673957
200061_s_at	12.58809093
200062_s_at	13.98103264
200063_s_at	12.68394986
200064_at	11.91253303
200065_s_at	12.55994906
200066_at	11.67981603
200067_x_at	11.5985397
200068_s_at	12.51245182
200069_at	9.660580297
200070_at	11.35034356
200071_at	11.38839121
200072_s_at	11.78882832
200073_s_at	11.91336162
200074_s_at	13.32110514
200075_s_at	12.00297604
200076_s_at	9.955204569
200077_s_at	13.59731872
200078_s_at	12.34762304
200079_s_at	11.35905557
200080_s_at	13.67241323
200081_s_at	13.28551852
200082_s_at	11.23944227
200083_at	10.69706171
200084_at	9.914897367
200085_s_at	10.80863311
200086_s_at	11.9207385
200087_s_at	12.49647907
200088_x_at	13.12128117
200089_s_at	13.77028994
200090_at	12.09138937
200091_s_at	13.19189433
200092_s_at	13.88695344
200093_s_at	11.63411897
200094_s_at	13.40750057
200095_x_at	13.91524989
200096_s_at	12.66155417
200097_s_at	12.68514073
200098_s_at	11.90266913
200099_s_at	13.45700918
200593_s_at	12.32588394
200594_x_at	12.60797894
200595_s_at	12.27015666
200596_s_at	10.23636779
200597_at	10.00498833
200598_s_at	10.965387
200599_s_at	11.39855339
